0	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_2310.fa	34556	34556	0.0376857
1	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_2933.fa	4658	4658	0.178173
2	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_2233.fa	109773	109773	0.0132573
3	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_278.fa	3933	3933	0.0405854
4	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_2658.fa	7763	7763	0.0525139
5	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_1793.fa	27832	27832	0.0425838
6	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_2646.fa	2292	2292	0.0733545
7	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_1195.fa	4286	4286	0.170926
9	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_584.fa	53452	53452	0.106047
10	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_2984.fa	183976	183976	0.0838645
11	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_438.fa	7138	7138	0.0829489
12	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_83.fa	12641	12641	0.0475157
13	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_1004.fa	4094	4094	0.0418553
14	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_2867.fa	4331	4331	0.0483865
15	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_1249.fa	4664	4664	0.197292
16	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_920.fa	223033	223033	0.0668569
18	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_1989.fa	30005	30005	0.0321972
19	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_5.fa	109835	109835	0.0129198
20	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_291.fa	59570	59570	0.0342477
21	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_1714.fa	56282	56282	0.0217093
22	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_1669.fa	3131	3131	0.0119383
23	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_2174.fa	58367	58367	0.0581372
25	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_1923.fa	22976	22976	0.0247621
26	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_47.fa	221408	221408	0.0336937
27	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_1844.fa	7459	7459	0.107658
28	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_2136.fa	3132	3132	0.0131603
29	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_2009.fa	40567	40567	0.0127767
30	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_149.fa	75185	75185	0.102268
31	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_86.fa	14574	14574	0.0525139
32	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_1270.fa	85239	85239	0.0205456
33	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_2189.fa	18558	18558	0.0369409
34	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_2584.fa	4951	4951	0.0448759
35	/home/bertrandd/PROJECT_LINK/OPERA_LG/HOSPITAL_MICROBIOME/ANALYSIS/RELATEDNESS/PLASMID/CANU/p_1594.fa	4641	4641	0.219531
